sector,horizon,task,r2,rmse,mae,dir_acc,base_rate,naive_baseline,edge,n_oof
NoDur,1,reg,-0.007998951562522283,0.03272040253285911,0.024338194686987162,0.5013333333333333,0.496,0.504,-0.002666666666666706,375
NoDur,3,reg,-0.11807171588587417,0.06254856911477832,0.046437332983392005,0.5093333333333333,0.424,0.5760000000000001,-0.06666666666666676,375
NoDur,6,reg,-0.6829116920173925,0.11086978152262716,0.08005359765083028,0.4693333333333333,0.4613333333333333,0.5386666666666666,-0.0693333333333333,375
NoDur,12,reg,-0.8497569457322305,0.17873304408771937,0.13241823728650015,0.45675675675675675,0.44324324324324327,0.5567567567567567,-0.09999999999999998,370
Durbl,1,reg,0.006421631045827159,0.06410357018120263,0.04241653911086452,0.544,0.4613333333333333,0.5386666666666666,0.005333333333333412,375
Durbl,3,reg,-0.010494663917479219,0.11124878107495655,0.07905283756431451,0.568,0.45066666666666666,0.5493333333333333,0.01866666666666661,375
Durbl,6,reg,0.05979793489117047,0.15315856271126588,0.11158358506025422,0.5973333333333334,0.45866666666666667,0.5413333333333333,0.05600000000000005,375
Durbl,12,reg,-0.014533180791426403,0.22932316949672227,0.165140564849303,0.6081081081081081,0.45135135135135135,0.5486486486486486,0.05945945945945952,370
Manuf,1,reg,-0.001966910920414122,0.02424963343065829,0.01844773843289974,0.496,0.56,0.56,-0.06400000000000006,375
Manuf,3,reg,-0.06727068719469043,0.04343404356948146,0.033373845075754784,0.472,0.536,0.536,-0.06400000000000006,375
Manuf,6,reg,-0.20433088332300886,0.06816848561146098,0.05320117866619851,0.42933333333333334,0.576,0.576,-0.1466666666666666,375
Manuf,12,reg,-0.3240772483809,0.09646996124556015,0.07983274604213947,0.41081081081081083,0.5594594594594594,0.5594594594594594,-0.14864864864864857,370
Enrgy,1,reg,-0.030464119183127636,0.055926930189743304,0.041843861997852325,0.504,0.4693333333333333,0.5306666666666666,-0.026666666666666616,375
Enrgy,3,reg,-0.09976982533617962,0.10092337031511925,0.0766806021431674,0.47733333333333333,0.47733333333333333,0.5226666666666666,-0.04533333333333328,375
Enrgy,6,reg,-0.1931776071334106,0.15098983900645116,0.11867486242202532,0.42933333333333334,0.4693333333333333,0.5306666666666666,-0.10133333333333328,375
Enrgy,12,reg,-0.2663465100024327,0.24452188179470807,0.19606511419900327,0.4027027027027027,0.4540540540540541,0.5459459459459459,-0.14324324324324322,370
Chems,1,reg,-0.03887358214432601,0.030520575279512123,0.022199226338542474,0.504,0.4746666666666667,0.5253333333333333,-0.021333333333333315,375
Chems,3,reg,-0.27900064847237105,0.05968280654709149,0.04252366019717514,0.47733333333333333,0.44,0.56,-0.08266666666666672,375
Chems,6,reg,-0.35185090128715646,0.08810318593858868,0.06589708855027554,0.456,0.42933333333333334,0.5706666666666667,-0.11466666666666664,375
Chems,12,reg,-0.36394699446099876,0.13237080402482448,0.1039132127581395,0.43783783783783786,0.41081081081081083,0.5891891891891892,-0.1513513513513513,370
BusEq,1,reg,-0.06341802907656091,0.03853272720079405,0.028249194872824235,0.504,0.5466666666666666,0.5466666666666666,-0.04266666666666663,375
BusEq,3,reg,-0.38984758708806533,0.07446278027711405,0.05441810475004568,0.504,0.6106666666666667,0.6106666666666667,-0.10666666666666669,375
BusEq,6,reg,-0.8920527780987055,0.12569615354494307,0.08818365031726923,0.5786666666666667,0.648,0.648,-0.06933333333333336,375
BusEq,12,reg,-1.1354251347212738,0.20273664653034196,0.1427692594565059,0.5837837837837838,0.7189189189189189,0.7189189189189189,-0.1351351351351351,370
Telcm,1,reg,-0.04975791475295632,0.03406955465500988,0.025727415475089166,0.512,0.44533333333333336,0.5546666666666666,-0.04266666666666663,375
Telcm,3,reg,-0.22696774348362703,0.06400182402178034,0.04935130548861576,0.5093333333333333,0.4026666666666667,0.5973333333333333,-0.08799999999999997,375
Telcm,6,reg,-0.39192396636676285,0.09778762440032436,0.0781546951127685,0.48,0.4,0.6,-0.12,375
Telcm,12,reg,-0.46162719321910517,0.14641728953288854,0.11951739950426835,0.5108108108108108,0.3891891891891892,0.6108108108108108,-0.09999999999999998,370
Utils,1,reg,0.005128559007226863,0.04445169573596015,0.034151091089586576,0.5333333333333333,0.4746666666666667,0.5253333333333333,0.008000000000000007,375
Utils,3,reg,-0.0811645898772706,0.07570927372059531,0.05851998044580255,0.52,0.4533333333333333,0.5466666666666666,-0.026666666666666616,375
Utils,6,reg,-0.3391831435841597,0.1169333448221831,0.0897012665981031,0.504,0.456,0.544,-0.040000000000000036,375
Utils,12,reg,-0.38387974856187057,0.17133550075260165,0.13494480751131518,0.5027027027027027,0.4,0.6,-0.0972972972972973,370
Shops,1,reg,-0.030585446937369642,0.02521005554453664,0.01931248429417573,0.48533333333333334,0.5146666666666667,0.5146666666666667,-0.029333333333333378,375
Shops,3,reg,-0.12878887413310602,0.04700750591302489,0.03646601270727915,0.488,0.488,0.512,-0.02400000000000002,375
Shops,6,reg,-0.37103772587880246,0.07257313515789797,0.05674163354493383,0.48,0.504,0.504,-0.02400000000000002,375
Shops,12,reg,-0.528204053785748,0.10757381572597341,0.08518079601392838,0.43783783783783786,0.5324324324324324,0.5324324324324324,-0.09459459459459457,370
Hlth,1,reg,-0.0010097053069098028,0.03393760770836607,0.02548767911821465,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.0,375
Hlth,3,reg,-0.07113946587453235,0.057476229773722146,0.04479179292510397,0.488,0.496,0.504,-0.016000000000000014,375
Hlth,6,reg,-0.06311385459725716,0.076376481436861,0.05873292230265223,0.568,0.5093333333333333,0.5093333333333333,0.058666666666666645,375
Hlth,12,reg,-0.30566922428012955,0.11691873202535977,0.09411387939915633,0.581081081081081,0.46756756756756757,0.5324324324324324,0.048648648648648596,370
Money,1,reg,-0.041749139593775464,0.031739003626539634,0.02316573259697659,0.5093333333333333,0.5066666666666667,0.5066666666666667,0.002666666666666595,375
Money,3,reg,-0.1227838943271915,0.05685920831692888,0.04144777489060205,0.49066666666666664,0.5413333333333333,0.5413333333333333,-0.05066666666666669,375
Money,6,reg,-0.3653991073464966,0.0935263693043249,0.06939670097099626,0.43466666666666665,0.5306666666666666,0.5306666666666666,-0.09599999999999997,375
Money,12,reg,-0.48302165100339245,0.14287166912740665,0.10988044937664684,0.41081081081081083,0.5648648648648649,0.5648648648648649,-0.15405405405405403,370
Other,1,reg,-0.016336757472127816,0.01856895222830839,0.014195632700767149,0.5466666666666666,0.4533333333333333,0.5466666666666666,0.0,375
Other,3,reg,-0.08847973937541109,0.033371469216254335,0.026223868757922587,0.576,0.4186666666666667,0.5813333333333333,-0.005333333333333301,375
Other,6,reg,-0.2784674458769003,0.0497238554256197,0.038899465980737284,0.5413333333333333,0.4026666666666667,0.5973333333333333,-0.05599999999999994,375
Other,12,reg,-0.6717996807129878,0.07847676699109844,0.06237160124776474,0.5891891891891892,0.3567567567567568,0.6432432432432432,-0.05405405405405406,370
