sector,horizon,v1_edge,v1_acc,v2_xgb_edge,v2_xgb_acc,v2_xgb_r2,v2_clf_edge,v2_clf_acc,xgb_reg_delta_edge,clf_delta_edge
NoDur,1,0.01866666666666661,0.5226666666666666,0.0,0.504,-0.0039030737186616093,0.005333333333333301,0.5093333333333333,-0.01866666666666661,-0.013333333333333308
NoDur,3,-0.06666666666666676,0.5093333333333333,-0.12266666666666676,0.4533333333333333,-0.0067571937989128195,-0.12800000000000006,0.448,-0.055999999999999994,-0.061333333333333295
NoDur,6,-0.07199999999999995,0.4666666666666667,-0.03999999999999998,0.49866666666666665,-0.009954994934283867,-0.05066666666666664,0.488,0.03199999999999997,0.021333333333333315
NoDur,12,-0.12432432432432444,0.4324324324324324,-0.1216216216216216,0.43513513513513513,-0.031408600785125085,-0.18378378378378374,0.372972972972973,0.0027027027027028416,-0.059459459459459296
Durbl,1,-0.005333333333333301,0.5333333333333333,-0.05599999999999994,0.4826666666666667,-0.0026319195219086655,-0.029333333333333322,0.5093333333333333,-0.05066666666666664,-0.02400000000000002
Durbl,3,-0.021333333333333426,0.528,-0.09866666666666668,0.45066666666666666,0.002209288873037063,-0.08000000000000002,0.4693333333333333,-0.07733333333333325,-0.05866666666666659
Durbl,6,-1.1102230246251565e-16,0.5413333333333333,-0.14666666666666667,0.39466666666666667,-0.008685399916525283,-0.15466666666666667,0.38666666666666666,-0.14666666666666656,-0.15466666666666656
Durbl,12,-0.016216216216216273,0.5324324324324324,-0.11891891891891887,0.4297297297297297,-0.025489855834035957,-0.15945945945945939,0.3891891891891892,-0.1027027027027026,-0.1432432432432431
Manuf,1,-0.021333333333333426,0.5386666666666666,-0.08000000000000007,0.48,-0.012972804238299052,-0.021333333333333426,0.5386666666666666,-0.058666666666666645,0.0
Manuf,3,-0.040000000000000036,0.496,-0.06666666666666671,0.4693333333333333,-0.02042598406757734,-0.10400000000000004,0.432,-0.026666666666666672,-0.064
Manuf,6,-0.08799999999999997,0.488,-0.07733333333333331,0.49866666666666665,-0.03200326944160303,-0.013333333333333308,0.5626666666666666,0.010666666666666658,0.07466666666666666
Manuf,12,-0.10270270270270271,0.4567567567567567,-0.181081081081081,0.3783783783783784,-0.10959200308369876,-0.18918918918918914,0.37027027027027026,-0.0783783783783783,-0.08648648648648644
Enrgy,1,-0.029333333333333322,0.5013333333333333,-0.07199999999999995,0.45866666666666667,-0.0026695875409028513,-0.04799999999999993,0.4826666666666667,-0.04266666666666663,-0.01866666666666661
Enrgy,3,-0.03733333333333344,0.4853333333333333,-0.11999999999999994,0.4026666666666667,-0.020556040708298084,-0.10666666666666663,0.416,-0.0826666666666665,-0.06933333333333319
Enrgy,6,-0.0746666666666666,0.456,-0.1973333333333333,0.3333333333333333,-0.046476359157717306,-0.0693333333333333,0.4613333333333333,-0.1226666666666667,0.005333333333333301
Enrgy,12,-0.1459459459459459,0.4,-0.2189189189189189,0.327027027027027,-0.027453728798174204,-0.19999999999999996,0.34594594594594597,-0.072972972972973,-0.05405405405405406
Chems,1,-0.01866666666666661,0.5066666666666667,-0.08533333333333332,0.44,-0.009235281044811083,-0.016000000000000014,0.5093333333333333,-0.06666666666666671,0.002666666666666595
Chems,3,-0.10133333333333344,0.4586666666666666,-0.1306666666666667,0.42933333333333334,-0.011445283366384507,-0.10133333333333339,0.45866666666666667,-0.029333333333333267,5.551115123125783e-17
Chems,6,-0.07200000000000006,0.4986666666666666,-0.13066666666666665,0.44,-0.01735133062406069,-0.10666666666666663,0.464,-0.05866666666666659,-0.03466666666666657
Chems,12,-0.14864864864864868,0.4405405405405405,-0.23513513513513512,0.35405405405405405,-0.07534693259520386,-0.28108108108108104,0.3081081081081081,-0.08648648648648644,-0.13243243243243236
BusEq,1,-0.07733333333333331,0.4693333333333333,-0.002666666666666595,0.544,-0.008512463032165352,-0.002666666666666595,0.544,0.07466666666666671,0.07466666666666671
BusEq,3,-0.14400000000000002,0.4666666666666667,-0.05600000000000005,0.5546666666666666,-0.03459075235594078,-0.05066666666666664,0.56,0.08799999999999997,0.09333333333333338
BusEq,6,-0.1413333333333333,0.5066666666666667,-0.04266666666666674,0.6053333333333333,-0.06321794457240926,-0.04266666666666674,0.6053333333333333,0.09866666666666657,0.09866666666666657
BusEq,12,-0.20270270270270274,0.5162162162162162,-0.1351351351351351,0.5837837837837838,-0.10073397304143161,-0.01621621621621616,0.7027027027027027,0.06756756756756765,0.18648648648648658
Telcm,1,-0.05066666666666664,0.504,-0.061333333333333295,0.49333333333333335,-0.007467493542384851,-0.064,0.49066666666666664,-0.010666666666666658,-0.013333333333333364
Telcm,3,-0.09866666666666668,0.4986666666666666,-0.16533333333333328,0.432,-0.03794125276860827,-0.10666666666666663,0.49066666666666664,-0.0666666666666666,-0.007999999999999952
Telcm,6,-0.1333333333333333,0.4666666666666667,-0.10133333333333333,0.49866666666666665,-0.0564595527174756,-0.15733333333333333,0.44266666666666665,0.03199999999999997,-0.02400000000000002
Telcm,12,-0.11351351351351346,0.4972972972972973,-0.09999999999999998,0.5108108108108108,-0.0849821435442839,-0.18918918918918914,0.42162162162162165,0.013513513513513487,-0.07567567567567568
Utils,1,-0.021333333333333315,0.504,-0.029333333333333322,0.496,-0.0024854838561387815,-0.02400000000000002,0.5013333333333333,-0.008000000000000007,-0.002666666666666706
Utils,3,-0.021333333333333315,0.5253333333333333,-0.12266666666666665,0.424,-0.01672016763957629,-0.11199999999999999,0.43466666666666665,-0.10133333333333333,-0.09066666666666667
Utils,6,-0.029333333333333322,0.5146666666666667,-0.12533333333333335,0.4186666666666667,-0.04320589687306753,-0.06400000000000006,0.48,-0.09600000000000003,-0.034666666666666734
Utils,12,-0.09999999999999998,0.5,-0.24054054054054053,0.35945945945945945,-0.059492764081838345,-0.22702702702702698,0.372972972972973,-0.14054054054054055,-0.127027027027027
Shops,1,0.010666666666666602,0.5253333333333333,-0.026666666666666727,0.488,-0.004153404166588492,0.010666666666666602,0.5253333333333333,-0.03733333333333333,0.0
Shops,3,-0.01866666666666672,0.4933333333333333,-0.02133333333333337,0.49066666666666664,0.0025767400265231943,-0.06666666666666665,0.44533333333333336,-0.0026666666666666505,-0.04799999999999993
Shops,6,-0.010666666666666713,0.4933333333333333,0.016000000000000014,0.52,0.0123520410815251,-0.010666666666666658,0.49333333333333335,0.026666666666666727,5.551115123125783e-17
Shops,12,-0.008108108108108136,0.5243243243243243,0.018918918918918948,0.5513513513513514,-0.0387053778592763,-0.027027027027027084,0.5054054054054054,0.027027027027027084,-0.018918918918918948
Hlth,1,-0.021333333333333315,0.512,-0.021333333333333315,0.512,0.0013996705360967976,-0.02400000000000002,0.5093333333333333,0.0,-0.002666666666666706
Hlth,3,-0.04533333333333339,0.4586666666666666,0.002666666666666706,0.5066666666666667,-0.0216463766157986,-0.026666666666666672,0.47733333333333333,0.0480000000000001,0.01866666666666672
Hlth,6,0.005333333333333412,0.5146666666666667,0.013333333333333308,0.5226666666666666,-0.036318475040806986,0.013333333333333308,0.5226666666666666,0.007999999999999896,0.007999999999999896
Hlth,12,0.04054054054054046,0.572972972972973,-0.03783783783783784,0.4945945945945946,-0.04366641878297517,-0.032432432432432434,0.5,-0.0783783783783783,-0.0729729729729729
Money,1,0.013333333333333308,0.52,-0.01600000000000007,0.49066666666666664,-0.0032903338814502803,0.01866666666666661,0.5253333333333333,-0.029333333333333378,0.005333333333333301
Money,3,-0.08533333333333332,0.456,-0.013333333333333308,0.528,0.00027417884756686384,0.03466666666666662,0.576,0.07200000000000001,0.11999999999999994
Money,6,-0.12799999999999995,0.4026666666666667,-0.03999999999999998,0.49066666666666664,0.006496379814422193,-0.03466666666666662,0.496,0.08799999999999997,0.09333333333333332
Money,12,-0.08648648648648649,0.4783783783783784,0.002702702702702675,0.5675675675675675,0.030403347988558593,0.08378378378378382,0.6486486486486487,0.08918918918918917,0.1702702702702703
Other,1,0.026666666666666727,0.5733333333333334,-0.07733333333333331,0.4693333333333333,-0.02499470850749841,-0.061333333333333295,0.48533333333333334,-0.10400000000000004,-0.08800000000000002
Other,3,-0.04266666666666663,0.5386666666666666,-0.17599999999999993,0.4053333333333333,-0.08425781761043716,-0.12266666666666659,0.45866666666666667,-0.1333333333333333,-0.07999999999999996
Other,6,-0.10933333333333328,0.488,-0.16799999999999993,0.42933333333333334,-0.13499601797532912,-0.14133333333333326,0.456,-0.058666666666666645,-0.03199999999999997
Other,12,-0.13783783783783787,0.5054054054054054,-0.28648648648648645,0.3567567567567568,-0.2990085654810719,-0.19999999999999996,0.44324324324324327,-0.14864864864864857,-0.06216216216216208
