sector,horizon,supply_share,agg_demand_share,precautionary_share,own_share,oil_total_share
NoDur,1,4.079366942650341e-05,0.0010554416028674377,0.050079236305894594,0.9488245284218116,0.05117547157818853
NoDur,6,0.004962208044455547,0.01428666379668128,0.0728123107083728,0.9079388174504904,0.09206118254950962
NoDur,12,0.021722441423443966,0.03271556871433292,0.07192581459329558,0.8736361752689277,0.12636382473107247
NoDur,24,0.0541379930947254,0.05666805447512558,0.09272865587834597,0.7964652965518033,0.20353470344819696
Durbl,1,0.0018857299435323094,0.0009451378993309687,5.637287498271194e-06,0.9971634948696386,0.0028365051303615493
Durbl,6,0.029544591764060855,0.018229901981708388,0.034065467202972585,0.9181600390512585,0.08183996094874182
Durbl,12,0.047646589134001764,0.06071748248807836,0.03911291830142969,0.8525230100764905,0.1474769899235098
Durbl,24,0.06886268178906754,0.07426562819109796,0.06761429296376467,0.7892573970560697,0.21074260294393019
Manuf,1,0.00028913592644393897,0.0017442371642513357,0.02507334741834138,0.9728932794909633,0.027106720509036657
Manuf,6,0.003871361336744007,0.02936502149553167,0.026842266767743504,0.9399213503999809,0.06007864960001918
Manuf,12,0.017310744860695823,0.05856446719225735,0.046137966296675874,0.8779868216503709,0.12201317834962905
Manuf,24,0.036984488789839835,0.07200300632313185,0.06091270147508359,0.8300998034119449,0.16990019658805527
Enrgy,1,0.0001778218371458985,0.011206583923255261,0.28606528351555666,0.7025503107240422,0.29744968927595783
Enrgy,6,0.029926032896294877,0.028667626950548034,0.27418206982311,0.6672242703300473,0.3327757296699529
Enrgy,12,0.055244402074353244,0.04604847513132471,0.27114812058379,0.6275590022105323,0.37244099778946793
Enrgy,24,0.06612730004733171,0.07033960044200199,0.28505705617439914,0.5784760433362675,0.4215239566637328
Chems,1,0.0014143314505962934,0.0006716532282220886,0.01731128059758447,0.9806027347235972,0.019397265276402852
Chems,6,0.0027783615124001544,0.0009343858216959043,0.03562883436137729,0.9606584183045268,0.039341581695473346
Chems,12,0.018549861799488775,0.024660792191702346,0.04883370561075263,0.9079556403980563,0.09204435960194374
Chems,24,0.04483763296623199,0.034115668393732486,0.08172896788947523,0.8393177307505603,0.1606822692494397
BusEq,1,0.00017800393469279247,9.945196240506204e-05,0.0006481519391534016,0.9990743921637489,0.0009256078362512561
BusEq,6,0.010824532334789418,0.006310611783724303,0.01432383047017172,0.9685410254113144,0.03145897458868544
BusEq,12,0.017505022097872483,0.014697659636905306,0.02185427722976132,0.9459430410354609,0.05405695896453911
BusEq,24,0.03280642635872542,0.02133788917662821,0.07357265720483272,0.8722830272598135,0.12771697274018634
Telcm,1,0.00042946368518507685,0.0013666645420457812,0.0004804233423458447,0.9977234484304234,0.0022765515695767026
Telcm,6,0.008502899204401499,0.012959062335564955,0.011153851613820516,0.967384186846213,0.03261581315378697
Telcm,12,0.018759198553682282,0.031229935369163693,0.022039771430701238,0.9279710946464531,0.07202890535354721
Telcm,24,0.04099218755659,0.04240277245659918,0.06472830903616018,0.8518767309506509,0.14812326904934936
Utils,1,1.3903501680235576e-05,0.0001762287081100139,0.00993653125862782,0.9898733365315818,0.010126663468418071
Utils,6,0.01375221060568823,0.008920897414533363,0.035738607822677695,0.9415882841571006,0.05841171584289929
Utils,12,0.032236812875880226,0.027567602389089618,0.05567012432979532,0.8845254604052346,0.11547453959476517
Utils,24,0.04747726544252979,0.043217065091596174,0.06828321042966336,0.8410224590362104,0.1589775409637893
Shops,1,9.94154330092388e-06,0.0014234174824005914,0.12761915282632774,0.8709474881479706,0.12905251185202926
Shops,6,0.003601659172936364,0.016518412760568087,0.14079784719771343,0.8390820808687819,0.1609179191312179
Shops,12,0.03247245970016143,0.03664832719696315,0.1480616914901531,0.7828175216127222,0.2171824783872777
Shops,24,0.04454033352064869,0.046865720224385406,0.16519843032311124,0.7433955159318546,0.25660448406814534
Hlth,1,0.0003877351588981969,6.412867599242772e-05,0.03830348964798226,0.9612446465171269,0.03875535348287289
Hlth,6,0.006081171531790343,0.0184598199860135,0.055825104346377635,0.9196339041358184,0.08036609586418147
Hlth,12,0.010361308377841319,0.03499635671359014,0.06123535115707442,0.893406983751494,0.10659301624850588
Hlth,24,0.02000544328238942,0.05079802853669133,0.07961317641160977,0.8495833517693092,0.1504166482306905
Money,1,0.0008837989892210099,0.0009362666966758126,0.0020485763917103368,0.9961313579223928,0.0038686420776071592
Money,6,0.02268263067859527,0.022180942043673307,0.023241721515717583,0.9318947057620138,0.06810529423798616
Money,12,0.02929751092306906,0.04282924090604592,0.03939936272788784,0.888473885442997,0.11152611455700283
Money,24,0.040903623303075856,0.0599879699515996,0.05852083584876528,0.8405875708965593,0.15941242910344072
Other,1,0.00042171807608612093,0.0026618790851936905,0.0007025567203883168,0.996213846118332,0.0037861538816681283
Other,6,0.0037881090671436682,0.014764253975445991,0.016101733471475324,0.965345903485935,0.03465409651406498
Other,12,0.0203816516420181,0.024396580445097567,0.04467557594582189,0.9105461919670624,0.08945380803293755
Other,24,0.047184089387624153,0.037768250084044774,0.05647651401441705,0.8585711465139141,0.14142885348608597
