sector,horizon,base_value
NoDur,1,-0.0006756538641639054
NoDur,3,-0.002224796451628208
NoDur,6,-0.0036136754788458347
NoDur,12,-0.0069270264357328415
Durbl,1,0.0016446869121864438
Durbl,3,0.004894459154456854
Durbl,6,0.007384513504803181
Durbl,12,0.015593445859849453
Manuf,1,0.0011785976821556687
Manuf,3,0.003119092434644699
Manuf,6,0.0055722566321492195
Manuf,12,0.011201830580830574
Enrgy,1,9.166366362478584e-05
Enrgy,3,-0.0002798097557388246
Enrgy,6,-0.0014631273224949837
Enrgy,12,-0.002410239540040493
Chems,1,-0.0011450601741671562
Chems,3,-0.004112623631954193
Chems,6,-0.007202682085335255
Chems,12,-0.011465558782219887
BusEq,1,0.0024751184973865747
BusEq,3,0.007994084618985653
BusEq,6,0.015960166230797768
BusEq,12,0.03139321133494377
Telcm,1,-0.002604222623631358
Telcm,3,-0.007212068419903517
Telcm,6,-0.01437443122267723
Telcm,12,-0.0267670676112175
Utils,1,-0.001415060251019895
Utils,3,-0.003448209259659052
Utils,6,-0.0067977323196828365
Utils,12,-0.0135039659217
Shops,1,0.0008250642567873001
Shops,3,0.0024211835116147995
Shops,6,0.005484113935381174
Shops,12,0.01163556706160307
Hlth,1,0.0004859616747125983
Hlth,3,0.0012390451738610864
Hlth,6,0.002573238918557763
Hlth,12,0.0061954050324857235
Money,1,0.0004236774402670562
Money,3,0.0009338693926110864
Money,6,0.0024658350739628077
Money,12,0.005663614254444838
Other,1,-0.0019133081659674644
Other,3,-0.0064477138221263885
Other,6,-0.012837989255785942
Other,12,-0.024439672008156776
